Frequency,T0Magnitude,T1Magnitude,T2Magnitude,T3Magnitude,T4Magnitude,T5Magnitude
668750000000,-10.37350614,-7.665185387,-8.08743981,-8.08743981,-6.621729352,-6.419581043
669375000000,-9.990716844,-10.73023917,-11.42026348,-11.42026348,-9.766829223,-9.516560134
670000000000,-10.56499831,3.877367221,1.00286065,1.00286065,5.548952871,5.130786947
670625000000,-12.87583108,1.818403442,0.073327177,0.073327177,5.570277199,6.394898846
671250000000,-13.08878073,-4.304950908,-5.106365428,-5.106365428,-2.693635176,-2.341503453
671875000000,-10.59119525,-8.426300413,-8.866346977,-8.866346977,-7.344812588,-7.094323041
672500000000,-8.943288231,-11.71903713,-11.82430603,-11.82430603,-11.08942186,-10.97226769
673125000000,-10.31265483,-6.285671956,-6.932964036,-6.932964036,-6.74645729,-6.716376468
673750000000,-12.0328693,4.805572866,3.074043224,3.074043224,6.213269308,6.031157186
674375000000,-7.366231335,0.685332704,0.193560025,0.193560025,1.62406306,1.728983222
675000000000,-6.585347437,-3.503026937,-3.781683521,-3.781683521,-2.676264297,-2.613417274
675625000000,-1.020545744,-0.434242991,-0.609480376,-0.609480376,-0.161703612,-0.095393966
676250000000,-13.59068059,-11.81833034,-12.62467033,-12.62467033,-13.09603479,-12.91838725
676875000000,-13.45002842,1.985648878,4.835612606,4.835612606,-1.912757313,-2.604591742
677500000000,-11.02507212,-0.324631763,-0.959591027,-0.959591027,0.177563809,0.132128774
678125000000,-12.32986368,-5.26558105,-6.104700343,-6.104700343,-3.456474146,-3.084451272
678750000000,-12.20616023,-9.889625169,-10.21258751,-10.21258751,-8.801118514,-8.629934904
679375000000,-4.282745639,-5.844164586,-5.690993352,-5.690993352,-6.202788598,-6.226412487
680000000000,-0.070485598,0.15946114,0.069133045,0.069133045,0.372619915,0.401247611
680625000000,-2.441873938,0.544980925,0.607078816,0.607078816,0.525121542,0.559453474
681250000000,-7.790896618,2.390737863,2.836929809,2.836929809,1.681850498,1.622422494
681875000000,-15.11930479,0.196933576,-0.078513769,-0.078513769,1.314597457,1.522875484
682500000000,-4.238690158,-6.068749181,-6.080822507,-6.080822507,-6.00582848,-5.95228485
683125000000,2.739954603,-3.664475366,-3.456661464,-3.456661464,-3.969361497,-3.945830724
683750000000,-5.435244803,-0.92397064,-0.650515607,-0.650515607,-1.41288092,-1.411539364
684375000000,0.215019427,-0.117880586,-0.132330744,-0.132330744,-0.036774507,-0.038984916
685000000000,1.270653612,-0.207199293,-0.024279052,-0.024279052,-0.738164981,-0.722264899
685625000000,1.381631647,0.759648736,0.842904832,0.842904832,0.568838741,0.537314617
686250000000,-8.179495436,-3.473367111,-3.72446081,-3.72446081,-3.214366363,-3.020573497
686875000000,-13.29538882,-10.93389896,-10.32046034,-10.32046034,-10.10673678,-9.313752924
687500000000,-5.631367452,-6.989193223,-7.128646864,-7.128646864,-5.331849202,-5.170968675
688125000000,-10.22850056,4.389794549,13.88435378,13.88435378,2.492631186,-1.99003912
688750000000,-11.76693253,1.455514873,0.477006314,0.477006314,4.511107954,5.01570661
689375000000,-11.1259248,-3.954456822,-4.629944051,-4.629944051,-2.163485038,-1.782437193
690000000000,-9.646176812,-6.877703915,-7.333558727,-7.333558727,-5.75929628,-5.465114825
690625000000,-10.49064817,-8.702074378,-9.236471223,-9.236471223,-7.499192132,-7.212547954
691250000000,-12.45330199,-9.460178067,-10.42923272,-10.42923272,-9.243753529,-9.445851883
691875000000,-9.669302919,3.561639548,1.75145583,1.75145583,4.036379155,3.684110611
692500000000,-6.573551918,1.094061465,0.158860816,0.158860816,3.202598076,3.694929061
693125000000,-8.386175344,-3.695614733,-4.190165878,-4.190165878,-2.438132026,-2.111779608
693750000000,-11.17384953,-6.963912425,-7.440440112,-7.440440112,-5.642949539,-5.331254615
694375000000,-7.517845955,-8.952518352,-9.366571087,-9.366571087,-8.591699926,-8.658524357
695000000000,-5.778937229,-3.236294181,-3.819234953,-3.819234953,-3.579744823,-3.636234281
695625000000,-2.999978434,1.069979983,0.738556269,0.738556269,1.422625351,1.493959162
696250000000,1.448721478,0.414550631,0.557950852,0.557950852,0.294842937,0.306536
696875000000,-1.195104036,-0.420233438,-0.0651606,-0.0651606,-0.547733777,-0.548814161
697500000000,0.486362822,-0.25979485,0.054576562,0.054576562,-0.478436992,-0.5213601
